,Start,Finish,Steps (count),Day of week,hour,date
97,2022-01-05 01:00:00,05-Jan-2022 02:00,0,Wednesday,1,2022-01-05
98,2022-01-05 02:00:00,05-Jan-2022 03:00,0,Wednesday,2,2022-01-05
99,2022-01-05 03:00:00,05-Jan-2022 04:00,0,Wednesday,3,2022-01-05
100,2022-01-05 04:00:00,05-Jan-2022 05:00,0,Wednesday,4,2022-01-05
101,2022-01-05 05:00:00,05-Jan-2022 06:00,0,Wednesday,5,2022-01-05
102,2022-01-05 06:00:00,05-Jan-2022 07:00,331,Wednesday,6,2022-01-05
103,2022-01-05 07:00:00,05-Jan-2022 08:00,1220,Wednesday,7,2022-01-05
104,2022-01-05 08:00:00,05-Jan-2022 09:00,210,Wednesday,8,2022-01-05
105,2022-01-05 09:00:00,05-Jan-2022 10:00,1042,Wednesday,9,2022-01-05
106,2022-01-05 10:00:00,05-Jan-2022 11:00,607,Wednesday,10,2022-01-05
107,2022-01-05 11:00:00,05-Jan-2022 12:00,1475,Wednesday,11,2022-01-05
108,2022-01-05 12:00:00,05-Jan-2022 13:00,1345,Wednesday,12,2022-01-05
109,2022-01-05 13:00:00,05-Jan-2022 14:00,936,Wednesday,13,2022-01-05
110,2022-01-05 14:00:00,05-Jan-2022 15:00,106,Wednesday,14,2022-01-05
111,2022-01-05 15:00:00,05-Jan-2022 16:00,311,Wednesday,15,2022-01-05
112,2022-01-05 16:00:00,05-Jan-2022 17:00,3004,Wednesday,16,2022-01-05
113,2022-01-05 17:00:00,05-Jan-2022 18:00,73,Wednesday,17,2022-01-05
114,2022-01-05 18:00:00,05-Jan-2022 19:00,116,Wednesday,18,2022-01-05
115,2022-01-05 19:00:00,05-Jan-2022 20:00,148,Wednesday,19,2022-01-05
116,2022-01-05 20:00:00,05-Jan-2022 21:00,0,Wednesday,20,2022-01-05
117,2022-01-05 21:00:00,05-Jan-2022 22:00,126,Wednesday,21,2022-01-05
118,2022-01-05 22:00:00,05-Jan-2022 23:00,57,Wednesday,22,2022-01-05
119,2022-01-05 23:00:00,06-Jan-2022 00:00,0,Wednesday,23,2022-01-05
120,2022-01-06 00:00:00,06-Jan-2022 01:00,0,Thursday,0,2022-01-06
121,2022-01-06 01:00:00,06-Jan-2022 02:00,0,Thursday,1,2022-01-06
122,2022-01-06 02:00:00,06-Jan-2022 03:00,0,Thursday,2,2022-01-06
123,2022-01-06 03:00:00,06-Jan-2022 04:00,0,Thursday,3,2022-01-06
124,2022-01-06 04:00:00,06-Jan-2022 05:00,0,Thursday,4,2022-01-06
125,2022-01-06 05:00:00,06-Jan-2022 06:00,0,Thursday,5,2022-01-06
126,2022-01-06 06:00:00,06-Jan-2022 07:00,0,Thursday,6,2022-01-06
127,2022-01-06 07:00:00,06-Jan-2022 08:00,0,Thursday,7,2022-01-06
128,2022-01-06 08:00:00,06-Jan-2022 09:00,42,Thursday,8,2022-01-06
129,2022-01-06 09:00:00,06-Jan-2022 10:00,182,Thursday,9,2022-01-06
130,2022-01-06 10:00:00,06-Jan-2022 11:00,0,Thursday,10,2022-01-06
131,2022-01-06 11:00:00,06-Jan-2022 12:00,859,Thursday,11,2022-01-06
132,2022-01-06 12:00:00,06-Jan-2022 13:00,145,Thursday,12,2022-01-06
133,2022-01-06 13:00:00,06-Jan-2022 14:00,158,Thursday,13,2022-01-06
134,2022-01-06 14:00:00,06-Jan-2022 15:00,0,Thursday,14,2022-01-06
135,2022-01-06 15:00:00,06-Jan-2022 16:00,278,Thursday,15,2022-01-06
136,2022-01-06 16:00:00,06-Jan-2022 17:00,176,Thursday,16,2022-01-06
137,2022-01-06 17:00:00,06-Jan-2022 18:00,1034,Thursday,17,2022-01-06
138,2022-01-06 18:00:00,06-Jan-2022 19:00,180,Thursday,18,2022-01-06
139,2022-01-06 19:00:00,06-Jan-2022 20:00,144,Thursday,19,2022-01-06
140,2022-01-06 20:00:00,06-Jan-2022 21:00,0,Thursday,20,2022-01-06
141,2022-01-06 21:00:00,06-Jan-2022 22:00,0,Thursday,21,2022-01-06
142,2022-01-06 22:00:00,06-Jan-2022 23:00,73,Thursday,22,2022-01-06
143,2022-01-06 23:00:00,07-Jan-2022 00:00,0,Thursday,23,2022-01-06
144,2022-01-07 00:00:00,07-Jan-2022 01:00,0,Friday,0,2022-01-07
145,2022-01-07 01:00:00,07-Jan-2022 02:00,0,Friday,1,2022-01-07
146,2022-01-07 02:00:00,07-Jan-2022 03:00,0,Friday,2,2022-01-07
147,2022-01-07 03:00:00,07-Jan-2022 04:00,0,Friday,3,2022-01-07
148,2022-01-07 04:00:00,07-Jan-2022 05:00,0,Friday,4,2022-01-07
149,2022-01-07 05:00:00,07-Jan-2022 06:00,0,Friday,5,2022-01-07
150,2022-01-07 06:00:00,07-Jan-2022 07:00,368,Friday,6,2022-01-07
151,2022-01-07 07:00:00,07-Jan-2022 08:00,598,Friday,7,2022-01-07
152,2022-01-07 08:00:00,07-Jan-2022 09:00,176,Friday,8,2022-01-07
153,2022-01-07 09:00:00,07-Jan-2022 10:00,319,Friday,9,2022-01-07
154,2022-01-07 10:00:00,07-Jan-2022 11:00,68,Friday,10,2022-01-07
155,2022-01-07 11:00:00,07-Jan-2022 12:00,1180,Friday,11,2022-01-07
156,2022-01-07 12:00:00,07-Jan-2022 13:00,1591,Friday,12,2022-01-07
157,2022-01-07 13:00:00,07-Jan-2022 14:00,869,Friday,13,2022-01-07
158,2022-01-07 14:00:00,07-Jan-2022 15:00,1030,Friday,14,2022-01-07
159,2022-01-07 15:00:00,07-Jan-2022 16:00,108,Friday,15,2022-01-07
160,2022-01-07 16:00:00,07-Jan-2022 17:00,128,Friday,16,2022-01-07
161,2022-01-07 17:00:00,07-Jan-2022 18:00,622,Friday,17,2022-01-07
162,2022-01-07 18:00:00,07-Jan-2022 19:00,166,Friday,18,2022-01-07
163,2022-01-07 19:00:00,07-Jan-2022 20:00,300,Friday,19,2022-01-07
164,2022-01-07 20:00:00,07-Jan-2022 21:00,80,Friday,20,2022-01-07
165,2022-01-07 21:00:00,07-Jan-2022 22:00,94,Friday,21,2022-01-07
166,2022-01-07 22:00:00,07-Jan-2022 23:00,100,Friday,22,2022-01-07
167,2022-01-07 23:00:00,08-Jan-2022 00:00,0,Friday,23,2022-01-07
168,2022-01-08 00:00:00,08-Jan-2022 01:00,0,Saturday,0,2022-01-08
169,2022-01-08 01:00:00,08-Jan-2022 02:00,0,Saturday,1,2022-01-08
170,2022-01-08 02:00:00,08-Jan-2022 03:00,0,Saturday,2,2022-01-08
171,2022-01-08 03:00:00,08-Jan-2022 04:00,0,Saturday,3,2022-01-08
172,2022-01-08 04:00:00,08-Jan-2022 05:00,0,Saturday,4,2022-01-08
173,2022-01-08 05:00:00,08-Jan-2022 06:00,0,Saturday,5,2022-01-08
174,2022-01-08 06:00:00,08-Jan-2022 07:00,0,Saturday,6,2022-01-08
175,2022-01-08 07:00:00,08-Jan-2022 08:00,1178,Saturday,7,2022-01-08
176,2022-01-08 08:00:00,08-Jan-2022 09:00,2877,Saturday,8,2022-01-08
177,2022-01-08 09:00:00,08-Jan-2022 10:00,551,Saturday,9,2022-01-08
178,2022-01-08 10:00:00,08-Jan-2022 11:00,204,Saturday,10,2022-01-08
