Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,066160,2022,06,04,0.0,,N
IDCJAC0009,066160,2022,06,05,0.0,,N
IDCJAC0009,066160,2022,06,06,0.5,1,N
IDCJAC0009,066160,2022,06,07,0.0,,N
IDCJAC0009,066160,2022,06,08,0.0,,N
IDCJAC0009,066160,2022,06,09,0.0,,N
IDCJAC0009,066160,2022,06,10,0.0,,N
IDCJAC0009,066160,2022,06,11,0.0,,N
IDCJAC0009,066160,2022,06,12,0.0,,N
IDCJAC0009,066160,2022,06,13,0.0,,N
IDCJAC0009,066160,2022,06,14,0.0,,N
IDCJAC0009,066160,2022,06,15,0.0,,N
IDCJAC0009,066160,2022,06,16,0.0,,N
IDCJAC0009,066160,2022,06,17,0.0,,N
IDCJAC0009,066160,2022,06,18,0.0,,N
IDCJAC0009,066160,2022,06,19,1.6,1,N
IDCJAC0009,066160,2022,06,20,13.9,1,N
IDCJAC0009,066160,2022,06,21,0.8,1,N
IDCJAC0009,066160,2022,06,22,0.0,,N
IDCJAC0009,066160,2022,06,23,0.0,,N
IDCJAC0009,066160,2022,06,24,0.0,,N
IDCJAC0009,066160,2022,06,25,0.0,,N
IDCJAC0009,066160,2022,06,26,0.0,,N
IDCJAC0009,066160,2022,06,27,0.0,,N
IDCJAC0009,066160,2022,06,28,4.6,1,N
IDCJAC0009,066160,2022,06,29,1.4,1,N
IDCJAC0009,066160,2022,06,30,0.0,,N
IDCJAC0009,066160,2022,07,01,18.5,1,N
IDCJAC0009,066160,2022,07,02,24.0,1,N
IDCJAC0009,066160,2022,07,03,98.4,1,N
IDCJAC0009,066160,2022,07,04,8.9,1,N
IDCJAC0009,066160,2022,07,05,33.5,1,N
IDCJAC0009,066160,2022,07,06,1.2,1,N
IDCJAC0009,066160,2022,07,07,47.2,1,N
IDCJAC0009,066160,2022,07,08,0.1,1,N
IDCJAC0009,066160,2022,07,09,0.0,,N
IDCJAC0009,066160,2022,07,10,18.5,1,N
IDCJAC0009,066160,2022,07,11,8.2,1,N
IDCJAC0009,066160,2022,07,12,7.6,1,N
IDCJAC0009,066160,2022,07,13,0.0,,N
IDCJAC0009,066160,2022,07,14,32.6,1,N
IDCJAC0009,066160,2022,07,15,4.6,1,N
IDCJAC0009,066160,2022,07,16,0.2,1,N
IDCJAC0009,066160,2022,07,17,0.0,,N
IDCJAC0009,066160,2022,07,18,0.0,,N
IDCJAC0009,066160,2022,07,19,0.6,1,N
IDCJAC0009,066160,2022,07,20,10.4,1,N
IDCJAC0009,066160,2022,07,21,4.2,1,N
IDCJAC0009,066160,2022,07,22,8.5,1,N
IDCJAC0009,066160,2022,07,23,15.4,1,N
IDCJAC0009,066160,2022,07,24,6.0,1,N
IDCJAC0009,066160,2022,07,25,0.6,1,N
IDCJAC0009,066160,2022,07,26,4.2,1,N
IDCJAC0009,066160,2022,07,27,0.0,,N
IDCJAC0009,066160,2022,07,28,0.0,,N
IDCJAC0009,066160,2022,07,29,0.0,,N
IDCJAC0009,066160,2022,07,30,0.0,,N
IDCJAC0009,066160,2022,07,31,0.0,,N
IDCJAC0009,066160,2022,08,01,0.0,,N
IDCJAC0009,066160,2022,08,02,1.1,1,N
IDCJAC0009,066160,2022,08,03,0.0,,N
IDCJAC0009,066160,2022,08,04,0.0,,N
IDCJAC0009,066160,2022,08,05,0.0,,N
IDCJAC0009,066160,2022,08,06,8.6,1,N
IDCJAC0009,066160,2022,08,07,9.3,1,N
IDCJAC0009,066160,2022,08,08,0.6,1,N
IDCJAC0009,066160,2022,08,09,0.9,1,N
IDCJAC0009,066160,2022,08,10,6.8,1,N
IDCJAC0009,066160,2022,08,11,0.0,,N
IDCJAC0009,066160,2022,08,12,0.0,,N
IDCJAC0009,066160,2022,08,13,0.0,,N
IDCJAC0009,066160,2022,08,14,0.0,,N
IDCJAC0009,066160,2022,08,15,0.0,,N
IDCJAC0009,066160,2022,08,16,0.0,,N
