value__sum_values,value__median,value__mean,value__length,value__standard_deviation,value__variance,value__root_mean_square,value__maximum,value__absolute_maximum,value__minimum,Label
-1439073.9568010792,-320.426911827533,-189.32692498369678,7601.0,870.0934652888599,757062.6383383764,890.4534366614341,1344.5730881724671,2045.4269118275329,-2045.4269118275329,L
1723368.7707285793,-80.42691182753299,121.7842393278623,14151.0,1406.7359403494986,1978906.005870988,1411.9976653024798,4387.573088172467,4387.573088172467,-2560.426911827533,R
1825546.2675391615,-102.77970270811022,178.08470076472165,10251.0,1494.085379230152,2232291.120429307,1504.661184810643,3637.22029729189,3637.22029729189,-2354.77970270811,R
-1487666.0594819176,-358.7797027081102,-162.56868751851357,9151.0,759.3883432297378,576670.655833206,776.594639432116,1201.22029729189,2006.77970270811,-2006.77970270811,L
2211193.2526745675,410.2202972918898,216.7624010072118,10201.0,1511.8766529192892,2285771.0136424326,1527.33655496516,3706.22029729189,3706.22029729189,-2316.77970270811,R
3151070.046737272,699.4857839693543,391.3886531781483,8051.0,1784.832962219067,3185628.7030236893,1827.2421243120175,4046.485783969354,4046.485783969354,-2151.514216030646,R
-1361633.0961255531,-195.51421603064568,-134.80181131824108,10101.0,790.6479471751063,625124.1763722097,802.0571704728337,1285.4857839693543,2110.514216030646,-2110.514216030646,L
3010391.527537345,149.48578396935432,142.6658228300718,21101.0,1076.1610626737731,1158122.6328151445,1085.5764228367002,3420.485783969354,3420.485783969354,-2073.514216030646,R
-298350.4631708446,-157.50361371674614,-51.43086763848381,5801.0,1112.2975491470359,1237205.8378385028,1113.4859550010274,1382.4963862832537,2458.5036137167463,-2458.5036137167463,L
2788113.2377364244,519.4963862832539,322.2879710711391,8651.0,1639.7353569496554,2688732.040830814,1671.10788913462,4190.496386283254,4190.496386283254,-1866.5036137167463,R
-2515416.0768875913,-550.5036137167461,-369.8597378161434,6801.0,879.6053137261166,773705.50793522,954.2021450367035,1334.4963862832537,2232.5036137167463,-2232.5036137167463,L
-1701971.2968145143,-342.95625332085115,-201.3928880386362,8451.0,898.5810267592044,807447.8616516261,920.8729320618392,1024.0437466791489,2372.956253320851,-2372.956253320851,L
3175506.684588719,220.04374667914885,225.99862533547216,14051.0,1327.1868503843968,1761424.9358332553,1346.2913185810783,4256.043746679149,4256.043746679149,-2094.956253320851,R
-1744060.9828201314,-425.95625332085115,-217.98037530560322,8001.0,991.5907406881278,983252.1970184299,1015.2672756652807,1260.0437466791489,2699.956253320851,-2699.956253320851,L
-915618.7867067221,-210.7450244085618,-76.61440772376555,11951.0,935.1073917371446,874425.8340814455,938.240694892472,1935.2549755914383,2652.7450244085617,-2652.7450244085617,L
-1471713.9354111904,-405.7450244085618,-188.65708696464432,7801.0,1056.485630964361,1116161.888434164,1073.197738022285,1450.2549755914383,2805.7450244085617,-2805.7450244085617,L
-1586927.7427713105,-332.7450244085618,-156.33215868104725,10151.0,782.094538325204,611671.866878114,797.5660541397122,1167.2549755914383,2020.7450244085617,-2020.7450244085617,L
-1451311.161131374,-419.7808507040893,-193.4823571698939,7501.0,772.1905204005188,596278.1997964241,796.0613181988195,925.2191492959107,1944.7808507040893,-1944.7808507040893,L
-1547508.096905873,-330.7808507040893,-179.92188081686697,8601.0,794.1232223989359,630631.6923532698,814.250315044427,1095.2191492959107,2035.7808507040893,-2035.7808507040893,L
-1178149.3938069134,-77.78085070408929,-104.25178248003834,11301.0,658.292118441705,433348.51320246776,666.4960220081834,1115.2191492959107,2033.7808507040893,-2033.7808507040893,L
210229.00647327356,826.2191492959107,837.5657628417273,251.0,204.49024021968782,41816.25834510563,862.1674230854181,1125.2191492959107,1125.2191492959107,589.2191492959107,R
1544758.637839729,1.9018080018663,90.862810295849,17001.0,1074.2819315977579,1154081.6685574097,1078.1176739355815,3309.9018080018664,3309.9018080018664,-2248.0981919981336,R
2356449.433827131,433.9018080018663,229.8750789022662,10251.0,1282.4567605066213,1644695.3425691375,1302.8959645610469,2955.9018080018664,2955.9018080018664,-1835.0981919981336,R
2373211.464831447,62.9018080018663,140.84341037575354,16850.0,1112.8552084291991,1238446.7149279963,1121.7324017671367,3368.9018080018664,3368.9018080018664,-1744.0981919981336,R
-1726287.5991923534,-467.1537596483157,-236.44536353819387,7301.0,1002.1781095093551,1004360.9631797449,1029.6928537765295,1240.8462403516842,2761.153759648316,-2761.153759648316,L
2722226.8815110116,521.8462403516843,292.6810968187304,9301.0,1482.5186738645539,2197861.6183571154,1511.133297493021,3775.846240351684,3775.846240351684,-1847.1537596483158,R
1649319.1858099424,-171.1537596483157,162.4784933316858,10151.0,1625.657925545111,2642763.690887634,1633.7573111337465,3782.846240351684,3782.846240351684,-2215.153759648316,R
642074.838521699,365.8462403516843,801.591558703744,801.0,723.5683803586646,523551.2010548612,1079.8612077669793,2130.846240351684,2130.846240351684,115.84624035168429,R
2709313.8295308175,373.371792013476,263.01464222219374,10301.0,1324.6935065248476,1754812.8862290964,1350.5515866683377,3221.371792013476,3221.371792013476,-1812.628207986524,R
2578000.6159705725,20.37179201347601,194.55140109958285,13251.0,1117.5158885289557,1248841.7611146613,1134.324472443609,2750.371792013476,2750.371792013476,-1879.628207986524,R
12534.961392687277,251.371792013476,245.7835567193584,51.0,19.08513071825477,364.2422145328719,246.52342478586274,266.371792013476,266.371792013476,205.371792013476,R
3096975.598332839,336.371792013476,296.33294405634285,10451.0,1308.603647734195,1712443.5068632409,1341.7364572062354,3386.371792013476,3386.371792013476,-1966.628207986524,R
-1484560.421303839,-466.45739231664726,-203.33658694751938,7301.0,1176.1167079901302,1383250.5108135412,1193.5645262846108,1410.5426076833528,3024.457392316647,-3024.457392316647,L
2712495.8383003534,558.5426076833528,317.21387420188904,8551.0,1659.8194456284477,2755000.5920863273,1689.8595308700953,4122.542607683353,4122.542607683353,-1983.4573923166472,R
1103937.0536670582,22.542607683352742,104.62866587688923,10551.0,1422.8162238358998,2024406.0068106493,1426.6580405036896,3415.542607683353,3415.542607683353,-2528.457392316647,R
2800834.2817247766,164.22012563303468,331.4204569547718,8451.0,1654.0130297468538,2735759.102572367,1686.89022223157,4391.2201256330345,4391.2201256330345,-1858.7798743669653,R
-1483565.366502726,-48.779874366965316,-131.86075606636973,11251.0,657.0570776082238,431724.00323505944,670.1576398321921,907.2201256330347,1671.7798743669653,-1671.7798743669653,L
-1195668.1340816116,17.220125633034684,-91.265409822274,13101.0,749.7326773168942,562099.0874367582,755.2671464235591,1220.2201256330347,2547.7798743669655,-2547.7798743669655,L
2528953.6389720486,293.73088854870826,284.12017065184233,8901.0,1678.9209304964825,2818775.4908591746,1702.7917553918348,4243.730888548708,4243.730888548708,-1975.2691114512918,R
-1880081.5387376924,-372.26911145129174,-216.0764899135378,8701.0,897.7277862245085,805915.1781595567,923.3657063444102,1501.7308885487082,1984.2691114512918,-1984.2691114512918,L
-2047131.2269802375,-657.2691114512918,-301.004444490551,6801.0,1148.6420714831243,1319378.6083810427,1187.4267488919506,1368.7308885487082,2772.269111451292,-2772.269111451292,L
